Course,Type,Title,Syl,Cr,Instructor,Cur,Lim,Days,Rm,From,To
0096LAW-096-001,,"Lgl Eng for Lawyers 
This course has a Wait List",,0,Hein-Dunne,17,17,TTH,527,130001:00PM,145002:50PM
0096LAW-096-002,,"Lgl Eng for Lawyers 
This course has a Wait List",,0,Hein-Dunne,16,16,TTH,501,150003:00PM,165004:50PM
0503LAW-503-001,,"Constitutional Law (JD only) 
This course has a Wait List",,4,Raskin,100,100,TTH,401,180006:00PM,195007:50PM
0503LAW-503-002,,US Constitutional Law (LLM only),x,3,Michelman,34,45,T,503,180006:00PM,205008:50PM
0507LAW-507-001,,US Criminal Law (LLM only),x,3,Ben Miller,17,45,M,101,193007:30PM,221010:10PM
0508LAW-508-001,,Criminal Procedure I,x,3,Daskal,58,60,TTH,503,133001:30PM,145002:50PM
0508LAW-508-002,@,"Criminal Procedure I 
This course has a Wait List",,3,Davis,60,60,TTH,524,133001:30PM,145002:50PM
0508LAW-508-003,,Criminal Procedure I,,3,Kittrie,32,60,MW,524,180006:00PM,192007:20PM
0508LAW-508-004,@,"Criminal Procedure I 
This course has a Wait List",,3,Jones,59,60,MW,503,133001:30PM,145002:50PM
0508LAW-508-005,@,"Criminal Procedure I 
This course has a Wait List",x,3,Zachem,59,60,TTH,100,133001:30PM,145002:50PM
0508LAW-508-006,@,"Criminal Procedure I 
This course has a Wait List",x,3,"Bair, Barbera",51,52,M,503,193007:30PM,220010:00PM
0508LAW-508-007,@,"Criminal Procedure I 
This course has a Wait List",x,3,McGovern,62,61,MW,101,180006:00PM,192007:20PM
0508LAW-508-008,,Criminal Procedure I,x,3,Troccoli,46,60,T,101,193007:30PM,221010:10PM
0580LAW-580-001,,American Legal Institutions (LLM only),,2,Berenson,72,85,W,101,200008:00PM,215009:50PM
0580LAW-580-002,,Legal Research & Writing (LLM only),,2,Schenker,72,85,M,100,163004:30PM,175005:50PM
0581LAW-581-001,,US Busnss Law (LLM only),x,3,"Jacobs, A.",28,50,M,601,180006:00PM,204508:45PM
0601LAW-601-001,,Administrative Law,x,3,Niles,68,80,TTH,101,133001:30PM,145002:50PM
0601LAW-601-002,,Administrative Law,x,3,Lubbers,72,80,MW,100,180006:00PM,192007:20PM
0601LAW-601-003,,Administrative Law,x,3,Leiter,75,80,MW,602,133001:30PM,145002:50PM
0604LAW-604-001,,Patent & Trademark Appeals,x,2,Schoenhard,9,22,T,130,193007:30PM,212009:20PM
0605LAW-605-001,,First Amendment,x,3,Marcus,40,60,MW,524,153003:30PM,165004:50PM
0606LAW-606-001,,U.S. Lgl Hist I,x,3,May,10,18,TTH,501,103010:30AM,115011:50AM
0611LAW-611-001,,Business Associations,,4,Effross,34,80,MW,101,090009:00AM,105010:50AM
0611LAW-611-002,,Business Associations,,4,Siegel,78,80,TTH,402,100010:00AM,115011:50AM
0611LAW-611-003,@,"Business Associations 
This course has a Wait List",,4,"Wallace, P.",78,80,MW,101,110011:00AM,125012:50PM
0611LAW-611-004,@,"Business Associations 
This course has a Wait List",,4,"Anderson, K.",81,80,MW,402,200008:00PM,215009:50PM
0612LAW-612-001,,Securities Regultn,x,3,Quinn,30,50,TH,503,183006:30PM,211009:10PM
0614LAW-614-001,@,"Alt Dispute Resoltn 
This course has a Wait List",x,3,Bender,16,16,T,501,180006:00PM,205008:50PM
0616LAW-616-001,,Negotiable Instruments,,3,Effross,9,14,MW,103,133001:30PM,145002:50PM
0621LAW-621-001,,Conflict of Laws,x,3,Robbins,52,62,MW,524,103010:30AM,115011:50AM
0623LAW-623-001,@,"Copyright 
This course has a Wait List",x,3,Jaszi,45,45,MW,524,133001:30PM,145002:50PM
0626LAW-626-001,,Hmn Rghts,,3,"Martin, Rodriguez-Pinzon",36,45,MW,503,150003:00PM,162004:20PM
0629LAW-629-001,,Env Law,,3,Breen,34,60,M,100,193007:30PM,221010:10PM
0633LAW-633-001,,Evidence,,4,Goode Works,59,65,TTH,602,160004:00PM,175005:50PM
0633LAW-633-002,,Evidence,,4,Correia,64,65,TTH,100,180006:00PM,195007:50PM
0633LAW-633-003,,Evidence,x,4,C. Stein,25,60,MW,524,193007:30PM,212009:20PM
0636LAW-636-001,,Family Law,x,3,Polikoff,36,80,MW,601,103010:30AM,115011:50AM
0636LAW-636-002,,Family Law,,3,Saez,35,50,W,401,180006:00PM,204008:40PM
0637LAW-637-001,,Domstc Violence,,2,Myers,16,20,M,526,150003:00PM,165004:50PM
0639LAW-639-001,,Fed Corp Income Tax,x,3,Pike,15,30,TTH,504,150003:00PM,162004:20PM
0640LAW-640-001,,Health Law,x,4,"Goldberg, Silverman",12,15,TTH,351,180006:00PM,195007:50PM
0641LAW-641-001,,American Indian Law,x,3,Rosser,10,30,TTH,527,103010:30AM,115011:50AM
0642LAW-642-001,@,"Entertainment Law 
This course has a Wait List",x,3,"Bruns, Platzer",17,24,W,415,183006:30PM,211009:10PM
0643LAW-643-001,,Federal Courts,x,4,Frost,33,50,TTH,402,153003:30PM,172005:20PM
0646LAW-646-001,,Intl Trademark Law,,3,Farley,14,20,MW,504,090009:00AM,102010:20AM
0647LAW-647-001,,Fed Persnl Income Tax,x,4,Leff,62,80,MW,602,110011:00AM,125012:50PM
0647LAW-647-002,,Fed Persnl Income Tax,,4,Kempler,26,60,MW,100,160004:00PM,175005:50PM
0647LAW-647-003,,Fed Persnl Income Tax,x,4,Rothenberg,29,60,TTH,524,180006:00PM,195007:50PM
0649LAW-649-001,@,"Pre-Trial Litigtn 
This course has a Wait List",x,3,"C. Day, Bruckheim",15,16,T,526,183006:30PM,211009:10PM
0649LAW-649-002,@,"Pre-Trial Litigtn 
This course has a Wait List",x,3,"Algeo, Johnson",15,16,M,526,180006:00PM,204008:40PM
0651LAW-651-001,,Lawyer Bargaining,,3,Liu,18,20,S,601,100010:00AM,124012:40PM
0654LAW-654-001,,Govt Contracts,,3,"W. Carroll, Harty",27,35,MW,503,180006:00PM,192007:20PM
0655LAW-655-001,,Immigrtn & Naturalztn,x,3,Rathod,23,35,TTH,524,150003:00PM,162004:20PM
0655LAW-655-001B,,Immigrtn & Naturalztn (meets 3:00-4:20 TTH; until 5:20 only on Thursday),x,4,Rathod,20,21,TTH,524,150003:00PM,172005:20PM
0656LAW-656-001,,Asylum & Refugee Law,,3,McConnell,20,24,TTH,103,180006:00PM,192007:20PM
0657LAW-657-001,,Intl Trade Law I,,3,Ala'i,61,62,TTH,524,103010:30AM,115011:50AM
0658LAW-658-001,,Insurance Law,x,2,Dipietro,11,20,M,415,200008:00PM,215009:50PM
0659LAW-659A-001,,"Adv EU Law, Policy and Diplomacy",x,2,Nicola,7,16,T,314,160004:00PM,175005:50PM
0660LAW-660-001,,International Law,x,3,Goldman,25,60,TTH,503,150003:00PM,162004:20PM
0660LAW-660-002,,International Law,,3,Orentlicher,30,40,W,101,150003:00PM,174005:40PM
0661LAW-661-001,,Intl Busnss Transact,,3,"Anderson, K.",68,80,MW,101,133001:30PM,145002:50PM
0663LAW-663-001,,Jursiprudence,,2,Tsai,8,22,M,314,130001:00PM,145002:50PM
0664LAW-664-001,@,"Emplymnt & Labor Law 
This course has a Wait List",x,3,Datz,31,40,TH,601,180006:00PM,205008:50PM
0667LAW-667-001,@,"Cyberlaw 
This course has a Wait List",,2,"Carroll, M.",52,62,T,602,133001:30PM,152003:20PM
0668LAW-668-001,,Emplymnt Discrim,x,3,Carle,22,60,MW,601,090009:00AM,102010:20AM
0669LAW-669-001,@,"Intl Labor & Emplymnt Law 
This course has a Wait List",,2,Herrnstadt,20,20,M,415,180006:00PM,195007:50PM
0671LAW-671-001,,Land Transfer and Finance,,3,"Burke, Mark",10,22,TTH,601,083008:30AM,095009:50AM
0672LAW-672-001,@,"Law & Accounting 
This course has a Wait List",x,2,Mahoney,27,30,TH,528,200008:00PM,215009:50PM
0673LAW-673-001,,Remedies,,3,Mueller,14,45,MW,504,180006:00PM,192007:20PM
0675LAW-675-001,,Transnatnl Litigtn,,3,Epstein,16,24,TTH,103,153003:30PM,165004:50PM
0679LAW-679-001,,Intl Law of Foreign Invstmnt,,3,Perera,32,45,TTH,101,180006:00PM,192007:20PM
0682LAW-682-001,@,"Critical Race Theory 
This course has a Wait List",,3,Epperson,16,16,M,501,130001:00PM,154003:40PM
0685LAW-685-001,@,"Oil & Gas Law 
This course has a Wait List",x,2,"Nussdorf, McMurray",27,40,M,602,180006:00PM,195007:50PM
0688LAW-688-001,,Patent Law,,3,"Anderson, J. Jonas",49,60,TTH,602,180006:00PM,192007:20PM
0690LAW-690-001,@,"Education Law 
This course has a Wait List",,2,Epperson,16,18,W,500,150003:00PM,165004:50PM
0692LAW-692-001,,Antitrust Law,x,4,"Baker, J.",22,50,TTH,103,133001:30PM,152003:20PM
0694LAW-694-001,@,"Crim Trial Advcy 
This course has a Wait List",x,3,"Sullivan, Schmitt",14,14,M,528,163004:30PM,191007:10PM
0694LAW-694-002,,Crim Trial Advcy,x,3,"Mason, Helfand",11,14,T,528,163004:30PM,191007:10PM
0694LAW-694-003,,Crim Trial Advcy,x,3,"Raker, Fredrickson",10,14,T,528,193007:30PM,221010:10PM
0694LAW-694-004,,Crim Trial Advcy,x,3,"Aaronson, Hillyer",13,14,W,528,093009:30AM,121012:10PM
0694LAW-694-005,,Crim Trial Advcy,x,3,"Christian, Creighton",13,14,W,528,163004:30PM,191007:10PM
0694LAW-694-006,@,"Crim Trial Advcy 
This course has a Wait List",x,3,"Woodward, Algeo",14,14,W,528,193007:30PM,221010:10PM
0694LAW-694-007,,Crim Trial Advcy,x,3,"Beard, Gansler",7,14,TH,528,163004:30PM,191007:10PM
0695LAW-695-001,@,"Civil Trial Advocacy 
This course has a Wait List",x,3,"Rupp, Stein",11,14,M,528,193007:30PM,221010:10PM
0697LAW-697-001,,Wills Trusts Estates,,4,Abravanel,19,22,MW,500,130001:00PM,145002:50PM
0697LAW-697-002,,Wills Trusts Estates,,4,Edmisten,19,60,TTH,103,193007:30PM,212009:20PM
0699LAW-699-001,,Intl & Compar Antitrust,,3,"Miller, T.",5,50,MW,627,090009:00AM,102010:20AM
0700LAW-700A-001,,Adv Admin Law Sem,,2,Popper,9,14,W,526,160004:00PM,175005:50PM
0700LAW-700B-001,,"Govt Inform Law & Policy 
This course has a Wait List",,3,Metcalfe,16,16,TTH,501,133001:30PM,145002:50PM
0704LAW-704-001,,Busnss Plng & Secur Regul,x,3,Eule,12,16,TH,627,150003:00PM,175005:50PM
0706LAW-706-001,,Adv Civ Pro: Complex Litigation,,2,Corr,15,20,W,526,130001:00PM,145002:50PM
0707LAW-707B-001,,"Adv Con Law:Marshall-Brennan 
This course has a Wait List",,3,Ahranjani,37,37,W,601,160004:00PM,175005:50PM
0707LAW-707C-001,,Prblems in Democratic Process,x,2,Schwartz,11,14,W,351,160004:00PM,175005:50PM
0711LAW-711-001,,Mergers & Acquisitns Sem,,3,Connolly,10,16,M,314,193007:30PM,221010:10PM
0712LAW-712A-001,,Hmn Rgts Litigtn Sem,,2,"Beydoun, Palmer",8,12,M,445,180006:00PM,195007:50PM
0712LAW-712B-001,,Hmn Rgts Litgtn Fieldwork,,2,Beydoun,8,12,,,0,0
0713LAW-713-001,@,"Political Crime & Terrorism 
This course has a Wait List",,2,Kittrie,13,20,T,415,180006:00PM,195007:50PM
0719LAW-719A-001,,HlthLaw:Legisla&Reg Process,x,2,"McConagha, Bath",19,25,W,503,200008:00PM,215009:50PM
0719LAW-719B-001,,"Hlth Care Fraud & Abuse 
This course has a Wait List",,3,Scielzo,18,18,W,103,103010:30AM,131001:10PM
0719LAW-719C-001,,Medical Liability,x,2,Bertram,12,20,T,602,193007:30PM,212009:20PM
0721LAW-721-001,,Law of the Sea,,3,"Orellana, Antrim",14,22,T,527,193007:30PM,221010:10PM
0726LAW-726-001,,Intl Financial Institutions,,3,Comizio,14,50,TTH,524,090009:00AM,102010:20AM
0729LAW-729-001,,Wrongful Convictions,,2,Gilbert,15,16,W,501,180006:00PM,195007:50PM
0731LAW-731-001,,Real Estate Planning,,3,"Burke, Horowitz",17,23,T,415,160004:00PM,175005:50PM
0736LAW-736-001,@,"Intl Contract Law 
This course has a Wait List",x,3,Mattar,51,50,TH,602,120012:00PM,144002:40PM
0738LAW-738-001,,Intl Courts Sem,,3,"Heywood, Brantley",7,16,T,116,193007:30PM,221010:10PM
0739LAW-739A-001,,Hmn Rgts & Terrorism Sem,x,3,Goldman,17,23,TTH,103,103010:30AM,115011:50AM
0739LAW-739B-001,,Adv Hmn Rgts Sem,x,3,Mendez,16,22,TTH,528,090009:00AM,102010:20AM
0749LAW-749-001,@,"White Collar Crime 
This course has a Wait List",x,2,Sklamberg,25,26,T,601,200008:00PM,215009:50PM
0750LAW-750-001,,Special Eductn Law,x,3,Dubow,7,18,T,500,150003:00PM,175005:50PM
0751LAW-751-001,,DC Civ Lit Clin:Law Stdnts Ct,,3,Goemann,8,,,,0,0
0752LAW-752-001,,General Prac Clin,,4,"Milstein, Green Coleman",16,25,,,0,0
0752LAW-752-002,,General Prac Clin,,3,Ugelow,12,25,,,0,0
0752LAW-752-003,,General Practice Clinic,,4,Chavkin,8,25,,,0,0
0753LAW-753-001,,Wmn & Law Clin,,4,"Myers, Weinroth",14,,,,0,0
0753LAW-753-002,,Walc Domstc Violnce Clin Sem,,4,Nanasi,8,,,,0,0
0754LAW-754-009,,Law & Government Ext.,x,1/6/2013,Tenney,4,,,,0,0
0754LAW-754-010,,Alexandria Va Pd Suprv Extshp (co-req: LAW-795V-001),x,3,CANCELLED,,,,,0,0
0754LAW-754-011,,DC Public Defend Suprsvn Ext (co-req: LAW-795D-001),,3,CANCELLED,,,,,0,0
0755LAW-755-001,,Intl Hmn Rghts Clin,,4,"Wilson, Tabak",16,,,,0,0
0756LAW-756-001A,,"Genrl Practice Clin Sem 
This course has a Wait List",,3,"Milstein, Green Coleman",16,16,TTH,,140002:00PM,155003:50PM
0756LAW-756-001B,,"Genrl Practice Clin Sem 
This course has a Wait List",,2,Ugelow,12,12,W,527,180006:00PM,195007:50PM
0756LAW-756-001C,,"Genrl Practice Clin Sem 
This course has a Wait List",,3,Chavkin,8,8,TTH,445,140002:00PM,160004:00PM
0756LAW-756-003,,"Commnity/Econ Dev Clin Sem 
This course has a Wait List",,3,"Bennett, Smetak",16,16,W,,090009:00AM,130001:00PM
0756LAW-756-004,,Crim Jstc Clin Sem-Defense,,3,"Miller, Roberts",12,16,T,,093009:30AM,125012:50PM
0756LAW-756-005,,"Crim Jstc Clin Sem-Prosecution 
This course has a Wait List",,3,Bach,11,11,T,,183006:30PM,202008:20PM
0756LAW-756-006,,Disab Rghts Clin Sem,,3,"Dinerstein, J. Harris",12,16,W,,093009:30AM,123012:30PM
0756LAW-756-007,,"Intellctl Prop Clin Sem 
This course has a Wait List",,3,"Phillips, Jaszi, TBD",16,16,TH,,090009:00AM,120012:00PM
0756LAW-756-008,,"Intl Hmn Rghts Clin Sem 
This course has a Wait List",,3,"Wilson, Tabak",16,16,TH,,133001:30PM,163004:30PM
0756LAW-756-009,,Wmn & Law Clin Sem,,3,"Myers, Weinroth, TBD",14,16,W,,130001:00PM,170005:00PM
0756LAW-756-010,,"Walc Domstc Violnce Clin Sem 
This course has a Wait List",,3,Nanasi,8,8,W,,130001:00PM,170005:00PM
0756LAW-756-011,,Fed Tax Clin Sem,,3,"Abramowitz, Mueller",14,16,T,,093009:30AM,122012:20PM
0756LAW-756-012,,"Immigrant Justice Clinic Sem 
This course has a Wait List",,3,"Rathod, Sinha",16,16,TH,,090009:00AM,120012:00PM
